year,country,cluster
1993,NZ,13.0
1993,PE,0.0
1993,PK,12.0
1993,PL,10.0
1993,PT,10.0
1993,RO,11.0
1993,RS,11.0
1993,RU,11.0
1993,SA,12.0
1993,SE,12.0
1993,SG,10.0
1993,SI,10.0
1993,SK,11.0
1993,TH,12.0
1993,TR,12.0
1993,TW,11.0
1993,UA,11.0
1993,US,13.0
1993,VE,13.0
1993,ZA,13.0
1994,AR,14.0
1994,AT,12.0
1994,AU,13.0
1994,BE,13.0
1994,BG,11.0
1994,BR,13.0
1994,BY,11.0
1994,CA,13.0
1994,CH,12.0
1994,CL,13.0
1994,CN,11.0
1994,CO,0.0
1994,CR,0.0
1994,CU,13.0
1994,CZ,11.0
1994,DE,11.0
1994,DK,12.0
1994,EG,11.0
1994,ES,14.0
1994,FI,12.0
1994,FR,14.0
1994,GB,13.0
1994,GR,11.0
1994,HK,11.0
1994,HR,13.0
1994,HU,14.0
1994,IE,13.0
1994,IL,13.0
1994,IN,11.0
1994,IR,11.0
1994,IT,12.0
1994,JP,11.0
1994,KE,0.0
1994,KR,11.0
1994,LV,11.0
1994,MA,0.0
1994,MX,13.0
1994,MY,13.0
1994,NG,0.0
1994,NL,14.0
1994,NO,12.0
1994,NZ,13.0
1994,PE,0.0
1994,PK,12.0
1994,PL,11.0
1994,PT,11.0
1994,RO,11.0
1994,RS,11.0
1994,RU,11.0
1994,SA,12.0
1994,SE,12.0
1994,SG,11.0
1994,SI,11.0
1994,SK,11.0
1994,TH,12.0
1994,TR,12.0
1994,TW,11.0
1994,UA,11.0
1994,US,13.0
1994,VE,13.0
1994,ZA,13.0
1995,AR,10.0
1995,AT,12.0
1995,AU,13.0
1995,BE,13.0
1995,BG,11.0
1995,BR,13.0
1995,BY,11.0
1995,CA,13.0
1995,CH,12.0
1995,CL,13.0
1995,CN,11.0
1995,CO,0.0
1995,CR,0.0
1995,CU,13.0
1995,CZ,10.0
1995,DE,10.0
1995,DK,12.0
1995,EE,11.0
1995,EG,11.0
1995,ES,10.0
1995,FI,12.0
1995,FR,10.0
1995,GB,13.0
1995,GR,11.0
1995,HK,10.0
1995,HR,13.0
1995,HU,10.0
1995,IE,13.0
1995,IL,13.0
1995,IN,11.0
1995,IR,10.0
1995,IT,12.0
1995,JP,10.0
1995,KE,0.0
1995,KR,11.0
1995,LV,10.0
1995,MA,0.0
1995,MX,13.0
1995,MY,13.0
1995,NG,0.0
1995,NL,13.0
1995,NO,12.0
1995,NZ,13.0
1995,PE,0.0
1995,PK,12.0
1995,PL,10.0
1995,PT,10.0
1995,RO,11.0
1995,RS,11.0
1995,RU,11.0
1995,SA,12.0
1995,SE,12.0
1995,SG,10.0
1995,SI,10.0
1995,SK,11.0
1995,TH,12.0
1995,TR,12.0
1995,TW,11.0
1995,UA,11.0
1995,US,13.0
1995,VE,13.0
1995,ZA,13.0
1996,AR,10.0
1996,AT,12.0
1996,AU,13.0
1996,BE,12.0
1996,BG,11.0
1996,BR,13.0
1996,BY,11.0
1996,CA,13.0
1996,CH,12.0
1996,CL,13.0
1996,CN,11.0
1996,CO,0.0
1996,CR,0.0
1996,CU,13.0
1996,CZ,10.0
1996,DE,10.0
1996,DK,12.0
1996,EE,11.0
1996,EG,11.0
1996,ES,10.0
1996,FI,12.0
1996,FR,10.0
1996,GB,13.0
1996,GR,11.0
1996,HK,11.0
1996,HR,13.0
1996,HU,10.0
1996,ID,13.0
1996,IE,13.0
1996,IL,12.0
1996,IN,11.0
1996,IR,10.0
1996,IT,12.0
1996,JP,10.0
1996,KE,13.0
1996,KR,11.0
1996,LV,11.0
1996,MA,0.0
1996,MX,13.0
1996,MY,13.0
1996,NG,13.0
1996,NL,12.0
1996,NO,12.0
1996,NZ,13.0
1996,PE,0.0
1996,PK,12.0
1996,PL,10.0
1996,PT,10.0
1996,RO,11.0
1996,RS,11.0
1996,RU,11.0
1996,SA,12.0
1996,SE,12.0
1996,SG,11.0
1996,SI,11.0
1996,SK,11.0
1996,TH,12.0
1996,TR,12.0
1996,TW,11.0
1996,UA,11.0
1996,US,13.0
1996,VE,13.0
1996,ZA,13.0
1997,AR,14.0
1997,AT,7.0
1997,AU,7.0
1997,BE,7.0
1997,BG,11.0
1997,BR,15.0
1997,BY,11.0
1997,CA,7.0
1997,CH,7.0
1997,CL,15.0
1997,CN,11.0
1997,CO,15.0
1997,CR,15.0
1997,CU,15.0
1997,CZ,11.0
1997,DE,11.0
1997,DK,7.0
1997,EE,11.0
1997,EG,11.0
1997,ES,14.0
1997,FI,7.0
1997,FR,14.0
1997,GB,7.0
1997,GR,11.0
1997,HK,11.0
1997,HR,15.0
1997,HU,14.0
1997,ID,15.0
1997,IE,7.0
1997,IL,7.0
1997,IN,11.0
1997,IR,11.0
1997,IT,7.0
1997,JP,14.0
1997,KE,7.0
1997,KR,11.0
1997,KW,11.0
1997,LV,11.0
1997,MA,0.0
1997,MX,15.0
1997,MY,7.0
1997,NG,7.0
1997,NL,7.0
1997,NO,7.0
1997,NZ,15.0
1997,PE,15.0
1997,PK,7.0
1997,PL,14.0
1997,PR,15.0
1997,PT,14.0
1997,RO,11.0
1997,RS,11.0
1997,RU,11.0
1997,SA,7.0
1997,SE,7.0
1997,SG,11.0
1997,SI,11.0
1997,SK,11.0
1997,TH,7.0
1997,TR,7.0
1997,TW,11.0
1997,UA,11.0
1997,US,7.0
1997,VE,15.0
1997,ZA,15.0
1998,AM,11.0
1998,AR,14.0
1998,AT,7.0
1998,AU,16.0
1998,BD,7.0
1998,BE,7.0
1998,BG,11.0
1998,BR,16.0
1998,BY,11.0
1998,CA,16.0
1998,CH,7.0
1998,CL,16.0
1998,CN,11.0
1998,CO,16.0
1998,CR,16.0
1998,CU,16.0
1998,CZ,11.0
1998,DE,11.0
1998,DK,7.0
1998,DZ,16.0
1998,EE,11.0
1998,EG,11.0
1998,ES,14.0
1998,FI,7.0
1998,FR,14.0
1998,GB,16.0
1998,GR,11.0
1998,HK,11.0
1998,HR,16.0
1998,HU,14.0
1998,ID,16.0
1998,IE,16.0
1998,IL,7.0
1998,IN,11.0
1998,IR,11.0
1998,IT,7.0
1998,JO,11.0
1998,JP,11.0
1998,KE,7.0
1998,KR,11.0
1998,KW,11.0
1998,LT,11.0
1998,LV,11.0
1998,MA,0.0
1998,MX,16.0
1998,MY,16.0
1998,NG,7.0
1998,NL,7.0
1998,NO,7.0
1998,NZ,16.0
1998,PE,0.0
1998,PK,7.0
1998,PL,14.0
1998,PR,16.0
1998,PT,14.0
1998,RO,11.0
1998,RS,11.0
1998,RU,11.0
1998,SA,7.0
1998,SE,7.0
1998,SG,11.0
1998,SI,11.0
1998,SK,11.0
1998,TH,7.0
1998,TR,7.0
1998,TW,11.0
1998,UA,11.0
1998,US,7.0
1998,VE,16.0
1998,ZA,16.0
1999,AM,11.0
1999,AR,12.0
1999,AT,12.0
1999,AU,16.0
1999,BD,16.0
1999,BE,16.0
1999,BG,11.0
1999,BR,16.0
1999,BY,11.0
1999,CA,16.0
1999,CH,12.0
1999,CL,16.0
1999,CN,11.0
1999,CO,0.0
1999,CR,0.0
1999,CU,16.0
1999,CZ,11.0
1999,DE,11.0
1999,DK,12.0
1999,DZ,16.0
1999,EE,11.0
1999,EG,11.0
1999,ES,12.0
1999,FI,12.0
1999,FR,12.0
1999,GB,16.0
1999,GR,11.0
1999,HK,11.0
1999,HR,16.0
1999,HU,12.0
1999,ID,16.0
1999,IE,16.0
1999,IL,12.0
1999,IN,11.0
1999,IR,11.0
1999,IT,12.0
1999,JO,11.0
1999,JP,11.0
1999,KE,16.0
1999,KR,11.0
1999,KW,11.0
1999,LT,11.0
1999,LV,11.0
1999,MA,0.0
1999,MX,16.0
1999,MY,16.0
1999,NG,16.0
1999,NL,12.0
1999,NO,12.0
1999,NZ,16.0
1999,PE,0.0
1999,PH,16.0
1999,PK,12.0
1999,PL,11.0
1999,PR,16.0
1999,PT,11.0
1999,RO,11.0
1999,RS,11.0
1999,RU,11.0
1999,SA,12.0
1999,SE,12.0
1999,SG,11.0
1999,SI,11.0
1999,SK,11.0
1999,TH,12.0
1999,TR,12.0
1999,TW,11.0
1999,UA,11.0
1999,US,16.0
1999,VE,16.0
1999,ZA,16.0
2000,AM,11.0
2000,AR,12.0
2000,AT,12.0
2000,AU,18.0
2000,BD,18.0
2000,BE,18.0
2000,BG,11.0
2000,BR,18.0
2000,BY,11.0
2000,CA,18.0
2000,CH,12.0
2000,CL,17.0
2000,CN,11.0
2000,CO,17.0
2000,CR,17.0
2000,CU,18.0
2000,CZ,11.0
2000,DE,12.0
2000,DK,18.0
2000,DZ,17.0
2000,EE,11.0
2000,EG,11.0
2000,ES,12.0
2000,FI,18.0
2000,FR,12.0
2000,GB,18.0
2000,GR,11.0
2000,HK,11.0
2000,HR,17.0
2000,HU,12.0
2000,ID,17.0
2000,IE,18.0
2000,IL,12.0
2000,IN,11.0
2000,IR,11.0
2000,IT,12.0
2000,JO,11.0
2000,JP,11.0
2000,KE,18.0
2000,KR,11.0
2000,KW,11.0
2000,LT,11.0
2000,LV,17.0
2000,MA,12.0
2000,MX,17.0
2000,MY,12.0
